Nom,URL,Addresse,NombreEtoile,NombreReview,Type
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31411?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg4NzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"1386 Bayview Ave - Toronto, ON M4S 1B4 - Canada",4.2,259,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R41301?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTkyNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"922 Bloor St W - Toronto, ON M6H 1L4 - Canada",4.3,389,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31414?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg4NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"233 Eglinton Ave W - Toronto, ON M4R 1A9 - Canada",4,287,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R45801?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg5NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"2575 St Clair Ave W # 3 - York, ON M6N 4Z5 - Canada",4.2,188,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31413?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg4NzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"6005 Yonge St - North York, ON M2M 3W2 - Canada",4.1,646,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31401?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg4NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"4936 Yonge St - North York, ON M2N 6S3 - Canada",4.1,836,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/,"844 Danforth Ave - Toronto, ON M4J 1L7 - Canada",4.2,241,"Pizza restaurant, Delivery Restaurant, Takeout Restaurant, Pizza delivery, Pizza Takeout"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31417?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MjYwNTEwODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"609 Kingston Rd - Toronto, ON M4E 1R3 - Canada",4.5,219,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/,"890 St Clair Ave W - Midtown Toronto, ON M6C 1C5 - Canada",4.9,34,"Restaurant, American restaurant"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31502?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MjEwOTMwNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"5132 Dundas St W - Etobicoke, ON M9A 1C2 - Canada",4.5,237,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R30601?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTkwMTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"2100 Bloor St W - Toronto, ON M6S 4Y7 - Canada",4,460,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31404?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"985 Coxwell Ave - Toronto, ON M4C 3G4 - Canada",4,507,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R38601?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTkwNjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"1862 Eglinton Ave W - York, ON M6E 2J4 - Canada",4.2,364,"Pizza restaurant, Delivery service"
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31412?utm_source=google&utm_medium=listings&utm_campaign=YEXT&y_source=1_MTkyNTg4NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"861 York Mills Rd #5 - North York, ON M3B 1Y4 - Canada",4.1,550,"Pizza restaurant, Delivery service"
